 0.086 0.134 0.302 0.255 0.124 0.048 0.020 0.011 0.007 0.009 0.035 20.718
 0.057 0.129 0.319 0.216 0.119 0.062 0.035 0.022 0.015 0.020 0.022 20.807
 0.078 0.208 0.356 0.235 0.073 0.016 0.008 0.006 0.005 0.011 0.046 19.933
 0.056 0.032 0.206 0.248 0.181 0.110 0.066 0.042 0.028 0.026 0.014 21.802
 0.115 0.285 0.324 0.143 0.062 0.031 0.017 0.010 0.005 0.004 0.010 19.312
 0.177 0.267 0.300 0.148 0.054 0.022 0.011 0.007 0.004 0.004 0.025 19.136
 0.096 0.144 0.268 0.168 0.097 0.066 0.047 0.035 0.027 0.047 0.029 21.214
 0.084 0.171 0.376 0.229 0.079 0.028 0.011 0.006 0.004 0.006 0.022 20.076
 0.077 0.235 0.254 0.175 0.105 0.056 0.033 0.022 0.016 0.022 0.060 21.651
 0.067 0.177 0.388 0.256 0.075 0.015 0.006 0.003 0.002 0.005 0.011 19.654
 0.055 0.015 0.189 0.201 0.158 0.112 0.081 0.063 0.052 0.067 0.021 22.007
 0.125 0.210 0.336 0.217 0.074 0.021 0.007 0.003 0.001 0.000 0.014 19.706
 0.079 0.119 0.263 0.256 0.131 0.064 0.032 0.019 0.012 0.019 0.066 21.162
 0.056 0.051 0.337 0.257 0.123 0.063 0.038 0.026 0.019 0.027 0.045 20.889
 0.106 0.186 0.337 0.248 0.074 0.019 0.007 0.004 0.004 0.011 0.016 20.050
 0.067 0.119 0.252 0.210 0.128 0.075 0.048 0.034 0.025 0.037 0.088 22.066
 0.067 0.105 0.262 0.247 0.144 0.073 0.040 0.023 0.015 0.019 0.036 21.208
 0.057 0.071 0.255 0.234 0.136 0.077 0.051 0.038 0.030 0.046 0.060 21.438
 0.080 0.205 0.274 0.191 0.089 0.046 0.029 0.021 0.018 0.041 0.023 21.732
 0.217 0.244 0.232 0.124 0.063 0.038 0.025 0.018 0.013 0.020 0.010 19.894
 0.153 0.128 0.258 0.257 0.141 0.035 0.007 0.004 0.003 0.008 0.047 20.096
 0.062 0.149 0.166 0.168 0.129 0.088 0.061 0.048 0.044 0.080 0.015 22.078
 0.063 0.108 0.327 0.316 0.138 0.023 0.006 0.003 0.003 0.007 0.030 19.851
 0.059 0.043 0.149 0.197 0.165 0.119 0.080 0.060 0.049 0.073 0.021 22.288
 0.109 0.134 0.277 0.183 0.102 0.062 0.041 0.029 0.021 0.037 0.040 21.200
 0.056 0.105 0.351 0.213 0.089 0.046 0.031 0.025 0.024 0.054 0.028 20.643
 0.162 0.225 0.328 0.191 0.058 0.012 0.005 0.004 0.002 0.007 0.044 19.598
 0.448 0.303 0.160 0.039 0.014 0.008 0.005 0.004 0.004 0.009 0.029 16.629
 0.217 0.236 0.203 0.119 0.074 0.049 0.034 0.025 0.018 0.022 0.015 19.962
 0.311 0.289 0.230 0.100 0.036 0.015 0.007 0.003 0.002 0.002 0.008 17.578
 0.158 0.307 0.293 0.119 0.052 0.027 0.016 0.010 0.006 0.007 0.015 18.812
 0.152 0.219 0.385 0.181 0.043 0.011 0.003 0.001 0.000 0.000 0.081 19.099
 0.142 0.157 0.262 0.200 0.105 0.051 0.028 0.018 0.012 0.020 0.016 20.671
 0.098 0.268 0.310 0.144 0.058 0.030 0.021 0.017 0.016 0.032 0.022 20.944
 0.083 0.021 0.179 0.377 0.262 0.065 0.006 0.001 0.001 0.000 0.031 19.692
 0.068 0.134 0.354 0.221 0.105 0.049 0.026 0.016 0.010 0.012 0.019 20.502
 0.077 0.142 0.348 0.220 0.084 0.039 0.025 0.019 0.016 0.025 0.032 21.151
 0.062 0.059 0.211 0.336 0.240 0.072 0.009 0.003 0.002 0.002 0.050 20.066
 0.055 0.053 0.136 0.197 0.160 0.114 0.083 0.066 0.057 0.075 0.037 22.311
 0.204 0.150 0.261 0.145 0.074 0.045 0.032 0.026 0.021 0.038 0.036 20.300
 0.063 0.081 0.347 0.327 0.137 0.025 0.005 0.003 0.002 0.006 0.028 19.645
 0.055 0.016 0.154 0.192 0.157 0.113 0.082 0.067 0.059 0.099 0.035 22.072
 0.174 0.304 0.297 0.103 0.048 0.027 0.016 0.011 0.007 0.010 0.052 19.373
 0.197 0.286 0.290 0.124 0.051 0.023 0.012 0.006 0.004 0.003 0.036 19.325
 0.086 0.119 0.243 0.207 0.120 0.067 0.042 0.030 0.023 0.057 0.033 21.451
 0.138 0.242 0.279 0.132 0.059 0.034 0.024 0.019 0.018 0.050 0.037 21.147
 0.074 0.107 0.279 0.257 0.148 0.067 0.031 0.015 0.008 0.008 0.040 21.037
 0.094 0.165 0.199 0.151 0.113 0.077 0.055 0.042 0.036 0.063 0.045 22.408
 0.075 0.186 0.374 0.216 0.086 0.024 0.010 0.005 0.005 0.015 0.061 20.184
 0.056 0.023 0.182 0.234 0.158 0.103 0.071 0.054 0.046 0.068 0.015 21.921
 0.118 0.157 0.287 0.179 0.087 0.049 0.032 0.023 0.018 0.044 0.040 20.950
 0.152 0.260 0.279 0.112 0.053 0.033 0.024 0.020 0.018 0.044 0.033 20.964
 0.100 0.295 0.373 0.145 0.040 0.013 0.007 0.005 0.004 0.012 0.054 19.754
 0.057 0.095 0.165 0.203 0.151 0.100 0.067 0.051 0.042 0.064 0.017 22.211
 0.123 0.303 0.318 0.132 0.036 0.017 0.012 0.010 0.010 0.035 0.032 20.175
 0.059 0.046 0.258 0.225 0.130 0.081 0.055 0.042 0.036 0.064 0.022 21.697
 0.114 0.205 0.269 0.166 0.086 0.049 0.031 0.022 0.017 0.037 0.014 20.970
 0.068 0.091 0.276 0.269 0.164 0.076 0.026 0.009 0.005 0.009 0.043 20.836
 0.084 0.199 0.239 0.169 0.104 0.065 0.043 0.033 0.027 0.032 0.013 21.663
 0.202 0.185 0.216 0.119 0.073 0.051 0.038 0.030 0.026 0.055 0.011 20.339
 0.119 0.203 0.269 0.172 0.082 0.043 0.029 0.022 0.019 0.037 0.028 21.441
 0.107 0.177 0.376 0.221 0.061 0.020 0.009 0.006 0.006 0.013 0.050 20.135
